historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
15681,10355,"Kunga Tenpai Nyima",1906,1987,0,0,77,"20th Century"
15702,12745,"Ngawang Lodro Nyingpo",NULL,1905,0,0,77,"20th Century"
15738,13152,"Jikdrel Tsewang Dorje",1925,1962,0,0,77,"20th Century"
15742,13708,"Rigdzin Chodron",1893,1939,1,1,77,"20th Century"
15764,13797,"Tartse Zhabdrung Namkha Zangpo",NULL,NULL,0,0,77,"20th Century"
15776,13795,"Wara Zhabdrung Tenpai Nyima",1870,NULL,1,0,77,"20th Century"
15777,13246,"Jamyang Kunzang Tubten Chokyi Gyeltsen",1903,1960,0,0,77,"20th Century"
15785,13545,"Rinchen Sadutshang",1928,2015,0,0,77,"20th Century"
15791,2945,"Sungrab Gyatso",1896,1982,0,0,77,"20th Century"
15804,13793,"Jampa Ngawang Kunga Chopel",1884,1951,0,0,77,"20th Century"
15810,13647,"Jamyang Kunzang Tenpai Gyeltsen",NULL,1929,0,1,77,"20th Century"
15816,13798,"Nyendrak Tarpa",NULL,NULL,0,0,77,"20th Century"
15822,12613,"Ngawang Lodro Rinchen",1892,1959,0,0,77,"20th Century"
15823,13789,"Khyenrab Jigme Gyatso",1897,1957,0,0,77,"20th Century"
15827,4310,"Jampa Kunga Tenzin",1884,1963,0,0,77,"20th Century"
15834,13811,"Lama Gyurdrak",NULL,1975,0,0,77,"20th Century"
15844,13812,"Pelling Ani Wangdzin",1870,1920,1,1,77,"20th Century"
15853,12981,"Pema Gargyi Wangchuk",1930,2002,0,0,77,"20th Century"
15870,5120,"Tenzin Chozang",NULL,1959,0,0,77,"20th Century"
15932,12439,"Tashi Yangphel Tashigang",1938,2021,0,0,77,"20th Century"
15937,13693,"Lobzang Wanggyel",1920,2003,0,0,77,"20th Century"
15943,13817,"Gonpo Wanggyel",1845,1915,0,0,77,"20th Century"
15944,13790,"Kelzang Chodron",1901,1963,0,0,77,"20th Century"
15946,13791,"Jampel Tenzin Dradul",1900,1964,0,0,77,"20th Century"
15957,13249,"Jampa Namkha Kunzang Tenpai Gyeltsen",1907,1940,0,0,77,"20th Century"
15973,9172,"Chonyi Wangmo",NULL,NULL,0,0,77,"20th Century"
16001,13821,"Gergan Konchok Sonam",1910,1987,0,0,77,"20th Century"
16012,13823,"Khenpo Lobzang Puntsok",1880,1953,0,0,77,"20th Century"
16013,13824,"Konchok Tokdrol",1920,2006,0,0,77,"20th Century"
16017,13825,"Ngawang Tashi Dechen Dorje",1884,1919,0,0,77,"20th Century"
16042,13686,"Samten Gyatso",NULL,1940,0,1,77,"20th Century"
16045,8612,"Zong Lobzang Tsondru Tubten Gyeltsen",1904,1984,0,0,77,"20th Century"
16090,13842,"Drubgyud Tulku",1946,1964,0,0,77,"20th Century"
